name,country,protection,area_km2,fishing_hours_100km2,lon,lat
Low Bay Sanctuary,Antigua and Barbuda,fully-protected,48.56,0.0,-61.8834,17.6181
Two Foot Bay Sanctuary,Antigua and Barbuda,fully-protected,47.97,0.0,-61.7317,17.6485
Cades Bay Marine Reserve,Antigua and Barbuda,fully-protected,16.25,0.0,-61.8644,17.0142
Diamond Reef and Salt Fish Tail Reef Marine Reserve,Antigua and Barbuda,fully-protected,14.67,0.2496,-61.856,17.195
Goat Point Sanctuary,Antigua and Barbuda,fully-protected,17.9,0.0,-61.8383,17.7539
Bul Syayeef Marine Protected Area,United Arab Emirates,fully-protected,224.28,0.0,54.3436,24.3046
Batemans Marine Park,Australia,fully-protected,140.85,0.0,150.2072,-35.9948
Batemans Marine Park,Australia,highly-protected,8.7,5.7814,150.2072,-35.9948
Lower South East Marine Park,Australia,fully-protected,33.92,0.0,140.5183,-37.837
Lower Yorke Peninsula Marine Park,Australia,fully-protected,71.35,0.0,137.5238,-35.1267
Maria Island National Park,Australia,fully-protected,6.6,0.0,148.058,-42.5931
Montebello Islands Marine Park,Australia,fully-protected,285.36,0.0,115.553,-20.4484
Moreton Bay Marine Park,Australia,fully-protected,503.46,15.0805,153.3488,-27.3627
Muiron Islands Conservation Areas,Australia,fully-protected,19.14,0.0,114.3632,-21.6825
Neptune Islands Group Marine Park,Australia,fully-protected,33.88,0.069,136.0982,-35.2823
Ninepin Point Marine Nature Reserve,Australia,fully-protected,7.07,46.2408,147.192,-43.2838
Ninety Mile Beach Marine National Park,Australia,fully-protected,26.55,0.0,147.1822,-38.4188
Ningaloo Australian Marine Park,Australia,fully-protected,116.5,0.0,113.5583,-22.7344
Ningaloo Marine Park,Australia,fully-protected,873.9,0.2388,113.5583,-22.7344
Point Addis Marine National Park,Australia,fully-protected,43.71,0.0,144.2464,-38.4187
Point Cooke Marine Sanctuary,Australia,fully-protected,2.85,0.0,144.7896,-37.9222
Point Hicks Marine National Park,Australia,fully-protected,37.93,0.0,149.2519,-37.814
Port Phillip Heads Marine National Park,Australia,fully-protected,32.47,0.0,144.6702,-38.2591
Sir Joseph Banks Group Marine Park,Australia,fully-protected,170.69,2.2131,136.2127,-34.8152
Solitary Islands Marine Park,Australia,fully-protected,84.04,23.4538,153.2464,-29.9475
Solitary Islands Australian Marine Park,Australia,fully-protected,1.59,0.0,153.2464,-29.9475
Southern Kangaroo Island Marine Park,Australia,fully-protected,79.22,0.0,137.3033,-35.9989
Southern Spencer Gulf Marine Park,Australia,fully-protected,145.99,0.629,136.8818,-35.3494
Thorny Passage Marine Park,Australia,fully-protected,80.69,0.0,135.5163,-34.7023
Twelve Apostles Marine National Park,Australia,fully-protected,74.39,52.0439,143.0997,-38.7042
Twilight Australian Marine Park,Australia,fully-protected,3614.99,0.0,126.1023,-32.4514
Upper Gulf St Vincent Marine Park,Australia,fully-protected,183.21,0.0,138.1962,-34.355
Beware Reef Marine Sanctuary,Australia,fully-protected,2.2,0.0,148.787,-37.8212
Upper South East Marine Park,Australia,fully-protected,86.63,0.0,139.6535,-36.6348
Upper Spencer Gulf Marine Park,Australia,fully-protected,130.1,0.0,137.6704,-32.8607
West Coast Bays Marine Park,Australia,fully-protected,48.82,0.0,134.1905,-33.084
Western Kangaroo Island Marine Park,Australia,fully-protected,218.25,4.6532,136.6459,-35.9932
Western Kangaroo Island Australian Marine Park,Australia,fully-protected,120.25,1.5348,136.6459,-35.9932
French Island Marine National Park,Australia,fully-protected,27.74,0.0,145.3876,-38.2938
Wilsons Promontory Marine National Park,Australia,fully-protected,154.65,0.0,146.385,-39.1136
